,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
97078,Paid Contribution,24/04/2014,24/04/2014,2714932,"Canada, Government of",Government: National government,Canada,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,13/05/2014,24/04/2014,,2014,financial,Standard,"Canada, Government of",,,
97079,Paid Contribution,24/04/2014,24/04/2014,3500000,"Japan, Government of",Government: National government,Japan,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,24/09/2014,24/04/2014,,2014,financial,Standard,"Japan, Government of",,,
97080,Paid Contribution,24/04/2014,24/04/2014,1218702,"Switzerland, Government of",Government: National government,Switzerland,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,15/08/2014,24/04/2014,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
97081,Paid Contribution,24/04/2014,24/04/2014,8900000,"United States of America, Government of",Government: National government,United States,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,18/07/2014,24/04/2014,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
97082,Paid Contribution,24/04/2014,24/04/2014,1272816,European Commission,Inter-governmental,,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,24/09/2014,24/04/2014,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
97089,Paid Contribution,24/02/2014,24/02/2014,245099,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,,,Yes,04/11/2014,24/04/2014,,2014,financial,Standard,United Nations Children's Fund,,,
97090,Paid Contribution,27/03/2014,19/03/2014,242440,"Canada, Government of",Government: National government,Canada,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,EDUCATION,Education,Yes,04/11/2014,24/04/2014,,2014,financial,Standard,"Canada, Government of",,,
97135,Paid Contribution,01/01/2014,01/01/2014,2852345,World Food Programme,UN agency,Yemen,2013,,,World Food Programme,2014,UN agency,Yemen,,,No,28/11/2014,25/04/2014,,2014,financial,Carryover,World Food Programme,,,
97137,Paid Contribution,27/03/2014,27/03/2014,6283662,"Canada, Government of",Government: National government,Canada,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/06/2014,25/04/2014,,2014,financial,Standard,"Canada, Government of",,,
97138,Paid Contribution,11/02/2014,11/02/2014,8086355,"Japan, Government of",Government: National government,Japan,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/12/2015,25/04/2014,,2014,financial,Standard,World Food Programme,,,
97139,Paid Contribution,24/02/2014,24/02/2014,1108647,"Switzerland, Government of",Government: National government,Switzerland,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/06/2014,25/04/2014,,2014,financial,Standard,"Switzerland, Government of",,,
97140,Paid Contribution,06/02/2014,06/02/2014,1913645,"Japan, Government of",Government: National government,Japan,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/12/2015,25/04/2014,,2014,financial,Standard,World Food Programme,,,
97158,Paid Contribution,24/03/2014,24/03/2014,199346,,,,2014,,,World Food Programme,2014,UN agency,Yemen,LOGISTICS,Logistics,Yes,21/11/2017,28/04/2014,,2014,financial,Standard,World Food Programme,,,
97159,Paid Contribution,25/04/2014,25/04/2014,744786,,,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,18/04/2017,28/04/2014,,2014,financial,Standard,World Food Programme,,,
97160,Paid Contribution,20/11/2013,20/11/2013,1712900,"United States of America, Government of",Government: National government,United States,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/06/2014,28/04/2014,,2014,financial,Standard,World Food Programme,,,
97168,Paid Contribution,31/07/2013,31/07/2013,833333,"Netherlands, Government of",Government: National government,Netherlands,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,29/08/2014,28/04/2014,,2014,financial,Standard,International Organization for Migration,,,
97169,Paid Contribution,18/07/2013,18/07/2013,611413,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2013,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,04/09/2014,28/04/2014,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
97177,Paid Contribution,30/09/2013,30/09/2013,1462295,"United States of America, Government of",Government: National government,United States,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,04/09/2014,28/04/2014,,2014,financial,Standard,"United States of America, Government of",,,
97224,Paid Contribution,13/01/2014,13/01/2014,752559,"Sweden, Government of",Government: National government,Sweden,2014,,,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,Yes,29/08/2014,01/05/2014,,2014,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
97570,Paid Contribution,23/04/2014,23/04/2014,182482,"Canada, Government of",Government: National government,Canada,2014,,,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,Yes,29/08/2014,13/05/2014,,2014,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
98054,Paid Contribution,01/03/2014,01/03/2014,2266267,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,OXFAM GB,2014,NGO: International,Yemen,FOOD SECURITY AND AGRICULTURE,Early Recovery,Yes,02/09/2014,30/05/2014,,2014,financial,Standard,"United Kingdom, Government of",,,
98113,Paid Contribution,01/04/2014,01/04/2014,2573643,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,30/07/2015,03/06/2014,,2014,financial,Standard,"United Kingdom, Government of",,,
98240,Paid Contribution,04/06/2014,04/06/2014,344740,"Sweden, Government of",Government: National government,Sweden,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,,,Yes,04/11/2014,10/06/2014,,2014,financial,Standard,"Sweden, Government of",,,
98376,Paid Contribution,12/06/2014,12/06/2014,401875,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,16/06/2014,16/06/2014,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
98377,Paid Contribution,12/06/2014,12/06/2014,1525088,"Sweden, Government of",Government: National government,Sweden,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,28/08/2014,16/06/2014,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
98522,Paid Contribution,30/04/2014,30/04/2014,973556,"Norway, Government of",Government: National government,Norway,2014,,,Norwegian Refugee Council,2014,NGO: International,Yemen,SHELTER/CCCM/NFI,Emergency Shelter and NFI,Yes,29/08/2014,19/06/2014,,2014,financial,Standard,"Norway, Government of",,,
98728,Paid Contribution,24/06/2014,24/06/2014,245950,World Food Programme,UN agency,Yemen,2013,,Coordination and support services,World Food Programme,2014,UN agency,Yemen,LOGISTICS,Logistics,No,21/11/2017,27/06/2014,,2014,financial,Carryover,World Food Programme,,,
98729,Paid Contribution,16/05/2014,16/05/2014,757000,"United States of America, Government of",Government: National government,United States,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/06/2014,27/06/2014,,2014,financial,Standard,World Food Programme,,,
98730,Paid Contribution,20/05/2014,20/05/2014,3456230,"Germany, Government of",Government: National government,Germany,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,27/06/2014,,2014,financial,Standard,World Food Programme,,,
98731,Paid Contribution,20/06/2014,20/06/2014,1855288,"Australia, Government of",Government: National government,Australia,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,22/08/2014,27/06/2014,,2014,financial,Standard,"Australia, Government of",,,
98769,Paid Contribution,16/06/2014,16/06/2014,485314,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,OXFAM GB,2014,NGO: International,Yemen,FOOD SECURITY AND AGRICULTURE,Early Recovery,Yes,02/09/2014,30/06/2014,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
98770,Paid Contribution,24/06/2014,24/06/2014,3790677,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,03/11/2014,30/06/2014,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
98785,Paid Contribution,23/06/2014,23/06/2014,4350979,"Sweden, Government of",Government: National government,Sweden,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,11/08/2014,01/07/2014,softly earmarked,2014,financial,Standard,"Sweden, Government of",,,
98808,Paid Contribution,30/06/2014,30/06/2014,700000,"United States of America, Government of",Government: National government,United States,2014,,,World Health Organization,2014,UN agency,Yemen,HEALTH,Health,Yes,13/11/2014,01/07/2014,,2014,financial,Standard,World Health Organization,,,
98888,Paid Contribution,03/07/2014,03/07/2014,2673797,"Netherlands, Government of",Government: National government,Netherlands,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,11/08/2014,04/07/2014,softly earmarked,2014,financial,Standard,"Netherlands, Government of",,,
98919,Paid Contribution,20/05/2014,20/05/2014,453001,"Switzerland, Government of",Government: National government,Switzerland,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,10/07/2014,,2014,financial,Standard,United Nations Children's Fund,,,
99246,Paid Contribution,30/06/2014,30/06/2014,727472,"United States of America, Government of",Government: National government,United States,2014,,,Agency for Technical Cooperation and Development,2014,NGO: International,Yemen,EARLY RECOVERY,Early Recovery,Yes,09/09/2014,23/07/2014,,2014,financial,Standard,Agency for Technical Cooperation and Development,,,
99247,Paid Contribution,23/07/2014,30/06/2014,15000000,"United States of America, Government of",Government: National government,United States,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,14/08/2014,23/07/2014,,2014,financial,Standard,World Food Programme,,,
99512,Paid Contribution,01/07/2014,01/07/2014,913484,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,International Organization for Migration,2014,UN agency,Yemen,FOOD SECURITY AND AGRICULTURE,Agriculture,Yes,21/11/2017,07/08/2014,,2014,financial,Standard,"United Kingdom, Government of",,,
99628,Paid Contribution,16/07/2014,16/07/2014,740083,"Sweden, Government of",Government: National government,Sweden,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,04/09/2014,08/08/2014,,2014,financial,Standard,International Organization for Migration,,,
99676,Paid Contribution,13/08/2014,13/08/2014,837814,,,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,18/04/2017,14/08/2014,,2014,financial,Standard,World Food Programme,,,
99677,Paid Contribution,20/05/2014,20/05/2014,10375029,"Germany, Government of",Government: National government,Germany,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,28/11/2014,14/08/2014,,2014,financial,Standard,World Food Programme,,,
99678,Paid Contribution,23/07/2014,23/07/2014,24091622,"United States of America, Government of",Government: National government,United States,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,14/08/2014,14/08/2014,,2014,financial,Standard,World Food Programme,,,
100161,Paid Contribution,16/06/2014,16/06/2014,650762,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,OXFAM GB,2014,NGO: International,Yemen,EARLY RECOVERY,Early Recovery,Yes,02/09/2014,02/09/2014,,2014,financial,Standard,OXFAM GB,,,
100162,Paid Contribution,16/06/2014,16/06/2014,2945556,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,OXFAM GB,2014,NGO: International,Yemen,,,Yes,27/02/2015,02/09/2014,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
100185,Paid Contribution,29/08/2014,29/08/2014,2541296,"Germany, Government of",Government: National government,Germany,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,27/11/2014,02/09/2014,softly earmarked,2014,financial,Standard,"Germany, Government of",,,
100198,Paid Contribution,03/09/2014,03/09/2014,13000000,"Germany, Government of",Government: National government,Germany,2014,,,World Food Programme,2014,UN agency,Yemen,NUTRITION,Health,Yes,03/09/2014,03/09/2014,,2014,financial,Standard,World Food Programme,,,
100237,Paid Contribution,04/09/2014,04/09/2014,28398219,,,,2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,18/04/2017,04/09/2014,,2014,financial,Standard,World Food Programme,,,
100239,Paid Contribution,16/07/2014,16/07/2014,740083,"Sweden, Government of",Government: National government,Sweden,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,04/09/2014,04/09/2014,,2014,financial,Standard,"Sweden, Government of",,,
100240,Paid Contribution,01/07/2014,01/07/2014,707591,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,International Organization for Migration,2014,UN agency,Yemen,,Agriculture,Yes,21/11/2017,04/09/2014,,2014,financial,Standard,"United Kingdom, Government of",,,
100312,Paid Contribution,30/06/2014,30/06/2014,853101,"United States of America, Government of",Government: National government,United States,2014,,,Agency for Technical Cooperation and Development,2014,NGO: International,Yemen,FOOD SECURITY AND AGRICULTURE,Food Security,Yes,09/09/2014,09/09/2014,,2014,financial,Standard,Agency for Technical Cooperation and Development,,,
100313,Paid Contribution,30/06/2014,30/06/2014,360785,"United States of America, Government of",Government: National government,United States,2014,,,Agency for Technical Cooperation and Development,2014,NGO: International,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,09/09/2014,09/09/2014,,2014,financial,Standard,"United States of America, Government of",,,
100346,Paid Contribution,04/09/2014,04/09/2014,995025,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,06/01/2015,10/09/2014,softly earmarked,2014,financial,Standard,,,,
100608,Paid Contribution,22/08/2014,22/08/2014,2673797,"Germany, Government of",Government: National government,Germany,2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,,,Yes,24/09/2014,24/09/2014,,2014,financial,Standard,"Germany, Government of",,,
101301,Paid Contribution,30/09/2014,30/09/2014,2000000,"United States of America, Government of",Government: National government,United States,2014,,,Adventist Development and Relief Agency,2014,NGO: International,Yemen,FOOD SECURITY AND AGRICULTURE,Food Security,Yes,23/10/2014,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101303,Paid Contribution,30/09/2014,30/09/2014,2000000,"United States of America, Government of",Government: National government,United States,2014,,,Global Communities,2014,NGO: International,Yemen,,,Yes,23/10/2014,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101304,Paid Contribution,30/09/2014,30/09/2014,828743,"United States of America, Government of",Government: National government,United States,2014,,,CARE International,2014,NGO: International,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,30/07/2015,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101305,Paid Contribution,30/09/2014,30/09/2014,1000000,"United States of America, Government of",Government: National government,United States,2014,,,International Medical Corps,2014,NGO: International,Yemen,,,Yes,23/10/2014,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101306,Paid Contribution,30/09/2014,30/09/2014,5000000,"United States of America, Government of",Government: National government,United States,2014,,,Global Communities,2014,NGO: International,Yemen,,,Yes,23/10/2014,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101307,Paid Contribution,30/09/2014,30/09/2014,5000000,"United States of America, Government of",Government: National government,United States,2014,,,Save the Children,2014,NGO: International,Yemen,,,Yes,23/10/2014,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101308,Paid Contribution,30/09/2014,30/09/2014,5000000,"United States of America, Government of",Government: National government,United States,2014,,,Mercy Corps,2014,NGO: International,Yemen,,,Yes,23/10/2014,23/10/2014,,2014,financial,Standard,"United States of America, Government of",,,
101630,Paid Contribution,03/03/2014,03/03/2014,2837134,"United States of America, Government of",Government: National government,United States,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,03/11/2014,03/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101633,Paid Contribution,03/03/2014,03/03/2014,1325733,"United States of America, Government of",Government: National government,United States,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,03/11/2014,,2014,financial,Standard,"United States of America, Government of",,,
101638,Paid Contribution,24/06/2014,24/06/2014,961063,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,04/11/2014,03/11/2014,,2014,financial,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
101666,Paid Contribution,27/03/2014,19/03/2014,126796,"Canada, Government of",Government: National government,Canada,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,"Canada, Government of",,,
101667,Paid Contribution,27/03/2014,19/03/2014,137595,"Canada, Government of",Government: National government,Canada,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,"Canada, Government of",,,
101671,Paid Contribution,27/03/2014,19/03/2014,249751,"Canada, Government of",Government: National government,Canada,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,04/11/2014,,2014,financial,Standard,"Canada, Government of",,,
101672,Paid Contribution,27/03/2014,19/03/2014,148396,"Canada, Government of",Government: National government,Canada,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,HEALTH,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,"Canada, Government of",,,
101675,Paid Contribution,24/02/2014,24/02/2014,1525124,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,EDUCATION,Education,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101676,Paid Contribution,24/02/2014,24/02/2014,1328600,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101678,Paid Contribution,24/02/2014,24/02/2014,825091,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101679,Paid Contribution,24/02/2014,24/02/2014,1997522,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101680,Paid Contribution,24/02/2014,24/02/2014,1578564,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,HEALTH,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101681,Paid Contribution,04/06/2014,04/06/2014,593628,"Sweden, Government of",Government: National government,Sweden,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,EDUCATION,Education,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101683,Paid Contribution,04/06/2014,04/06/2014,221038,"Sweden, Government of",Government: National government,Sweden,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101684,Paid Contribution,04/06/2014,04/06/2014,852307,"Sweden, Government of",Government: National government,Sweden,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101685,Paid Contribution,04/06/2014,04/06/2014,275918,"Sweden, Government of",Government: National government,Sweden,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,"Sweden, Government of",,,
101686,Paid Contribution,15/10/2014,15/10/2014,4017477,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101687,Paid Contribution,15/10/2014,15/10/2014,1222311,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,"WATER, SANITATION AND HYGIENE",Water Sanitation Hygiene,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101688,Paid Contribution,15/10/2014,15/10/2014,3700945,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,HEALTH,Health,Yes,04/11/2014,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
101706,Paid Contribution,24/06/2014,24/06/2014,551408,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,HEALTH,Health,Yes,06/07/2015,04/11/2014,,2014,financial,Standard,United Nations Children's Fund,,,
