,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
96235,113885,Paid Contribution,19/03/2014,13/02/2014,1000000,,Yemen Supporting the Government of Yemen in Addressing Migration Management Challenges,"Japan, Government of",Government: National government,,Japan,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69258/R/298,MULTI-SECTOR ,Multi-sector,,,Yes,.,Traditional aid,29/08/2014,12/03/2014,1,,2014,financial,,US Dollar,,Standard,International Organization for Migration,,,
96371,114034,Paid Contribution,19/03/2014,13/02/2014,1000000,,"Improving prevention, referral and response on gender-based violence in Yemen","Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Population Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/69741/R/1171,PROTECTION (GBV&Child Protection),Protection,,,Yes,,Traditional aid,21/11/2017,21/03/2014,1,,2014,financial,,US Dollar,,Standard,"Japan, Government of",,,
96400,114063,Paid Contribution,19/03/2014,05/03/2014,3500000,,Strengthening the provision of quality Primary Health Care/life saving services in the Southern governorates of Yemen,"Japan, Government of",Government: National government,,Japan,,2014,,,,World Health Organization,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68410/R/122,HEALTH,Health,,,Yes,,Traditional aid,01/05/2014,24/03/2014,1,,2014,financial,,US Dollar,,Standard,"Japan, Government of",,,
96577,114339,Paid Contribution,26/03/2014,26/03/2014,2686567,1800000,Emergency Response Fund for Yemen - (the figure shown for 'funding' is the unallocated balance of the fund) [OCT 4034],"United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4034,Traditional aid,03/06/2014,31/03/2014,1,softly earmarked,2014,financial,0.67,Pound Sterling,,Standard,,,,
96609,114371,Paid Contribution,28/02/2014,28/02/2014,399218,2488722,QZA-13/0122-18/NRC-MFA GPA - Material relief assistance and services,"Norway, Government of",Government: National government,,Norway,,2014,,,,Norwegian Refugee Council,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/S-NF/69162/R/5834,SHELTER/CCCM/NFI,Emergency Shelter and NFI,,,Yes,QZA-13/0122-18,Traditional aid,29/08/2014,01/04/2014,1,,2014,financial,6.234,Norwegian Krone,,Standard,"Norway, Government of",,,
96659,114481,Paid Contribution,20/03/2014,20/03/2014,825083,5000000,QZA-14/0003-15/ICRC Emergency Appeal 2014,"Norway, Government of",Government: National government,,Norway,,2014,,,,International Committee of the Red Cross,,2014,,,Red Cross/Red Crescent: International Society,,Yemen,,,,,,Yes,QZA-14/0003-15,Traditional aid,10/04/2014,03/04/2014,1,,2014,financial,6.06,Norwegian Krone,,Standard,"Norway, Government of",,,
96874,114767,Paid Contribution,09/04/2014,09/04/2014,564334,500000,Strengthening Humanitarian Coordination and Advocacy in Yemen (OCT 4487); [7F-08764.04.05.06],"Switzerland, Government of",Government: National government,,Switzerland,,2014,,,,Office for the Coordination of Humanitarian Affairs,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/63825/R/119,COORDINATION AND SUPPORT SERVICES,Coordination and support services,,,Yes,[OCT 4487],Traditional aid,29/08/2014,10/04/2014,1,,2014,financial,0.886,Swiss Franc,,Standard,Office for the Coordination of Humanitarian Affairs,,,
97038,115119,Paid Contribution,14/04/2014,14/04/2014,293035,1099000,in kind -  25 tons of pesticides to combat desert locust infestation,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2014,,,,Food & Agriculture Organization of the United Nations,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/A/69287/R/123,FOOD SECURITY AND AGRICULTURE,Agriculture,,,Yes,,Traditional aid,21/11/2017,23/04/2014,1,,2014,financial,3.750405,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
97078,115165,Paid Contribution,24/04/2014,24/04/2014,2714932,3000000,To be allocated to specific projects / clusters (D-000623),"Canada, Government of",Government: National government,,Canada,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,D-000623,Traditional aid,13/05/2014,24/04/2014,1,,2014,financial,1.105,Canadian Dollar,,Standard,"Canada, Government of",,,
97079,115166,Paid Contribution,24/04/2014,24/04/2014,3500000,,"Strengthen provision of protection to refugees and asylum seekers in Yemen through provision of food, health, shelter, NFI, and psycho-social support","Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69210/R/120,MULTI-SECTOR ,Multi-sector,,,Yes,,Traditional aid,24/09/2014,24/04/2014,1,,2014,financial,,US Dollar,,Standard,"Japan, Government of",,,
97080,115167,Paid Contribution,24/04/2014,24/04/2014,1218702,,To be allocated to specific projects / clusters,"Switzerland, Government of",Government: National government,,Switzerland,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,,Traditional aid,15/08/2014,24/04/2014,1,,2014,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
97081,115169,Paid Contribution,24/04/2014,24/04/2014,8900000,,To be allocated to specific projects / clusters,"United States of America, Government of",Government: National government,,United States,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,,Traditional aid,18/07/2014,24/04/2014,1,,2014,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
97082,115170,Paid Contribution,24/04/2014,24/04/2014,1272816,,To be allocated to specific projects / clusters,European Commission,Inter-governmental,,,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,,Traditional aid,24/09/2014,24/04/2014,1,,2014,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
97089,115177,Paid Contribution,24/02/2014,24/02/2014,245099,,To be allocated to specific projects / clusters (cross-sectoral activities),"Japan, Government of",Government: National government,,Japan,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68824/R/124,,,,,Yes,,Traditional aid,04/11/2014,24/04/2014,1,,2014,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
97090,115178,Paid Contribution,27/03/2014,19/03/2014,242440,267896,"Improve quality of learning and safe access to education for 1,115,000 IDPs, marginalized and disadvantaged children in the South, Center and North of Yemen (D-000624)","Canada, Government of",Government: National government,,Canada,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/E/69026/R/124,EDUCATION,Education,,,Yes,D-000624,Traditional aid,04/11/2014,24/04/2014,1,,2014,financial,1.105,Canadian Dollar,,Standard,"Canada, Government of",,,
97135,115230,Paid Contribution,01/01/2014,01/01/2014,2852345,,Food assistance,World Food Programme,UN agency,,Yemen,,2013,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,No,,,28/11/2014,25/04/2014,1,,2014,financial,,US Dollar,,Carryover,World Food Programme,,,
97137,115232,Paid Contribution,27/03/2014,27/03/2014,6283662,7000000,Food assistance PRRO (D-000631) [CAN-C-00481-02],"Canada, Government of",Government: National government,,Canada,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,D-000631,Traditional aid,27/06/2014,25/04/2014,1,,2014,financial,1.114,Canadian Dollar,,Standard,"Canada, Government of",,,
97138,115233,Paid Contribution,11/02/2014,11/02/2014,8086355,,Food assistance,"Japan, Government of",Government: National government,,Japan,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,JPN-C-00303-01,Traditional aid,28/12/2015,25/04/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
97139,115234,Paid Contribution,24/02/2014,24/02/2014,1108647,1000000,Food assistance,"Switzerland, Government of",Government: National government,,Switzerland,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,SWI-C-00339-01,Traditional aid,27/06/2014,25/04/2014,1,,2014,financial,0.902,Swiss Franc,,Standard,"Switzerland, Government of",,,
97140,115235,Paid Contribution,06/02/2014,06/02/2014,1913645,,Food assistance,"Japan, Government of",Government: National government,,Japan,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,JPN-C-00288-01,Traditional aid,28/12/2015,25/04/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
97158,115257,Paid Contribution,24/03/2014,24/03/2014,199346,,Air Passenger Service and Logistics Cluster Coordination in Support of the Humanitarian Response in Saada (WFP Special Operation 200130) (Cost recovery),,,,,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/68433/R/561,LOGISTICS,Logistics,,,Yes,,Traditional aid,21/11/2017,28/04/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
97159,115258,Paid Contribution,25/04/2014,25/04/2014,744786,,Food assistance EMOP (Misc. income),,,,,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,18/04/2017,28/04/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
97160,115259,Paid Contribution,20/11/2013,20/11/2013,1712900,,Food assistance,"United States of America, Government of",Government: National government,,United States,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,27/06/2014,28/04/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
97168,115267,Paid Contribution,31/07/2013,31/07/2013,833333,,Humanitarian Assistance for Emergency Voluntary Return of Stranded Migrants Ex Yemen (25676 (DSH0117159),"Netherlands, Government of",Government: National government,,Netherlands,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69255/R/298,MULTI-SECTOR ,Multi-sector,,,Yes,,Traditional aid,29/08/2014,28/04/2014,1,,2014,financial,,US Dollar,,Standard,International Organization for Migration,,,
97169,115268,Paid Contribution,18/07/2013,18/07/2013,611413,456396,Humanitarian Assistance for Emergency Voluntary Return of Stranded Migrants Ex Yemen (part of ECHO/YEM/BUD/2013/91008),European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2013,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69250/R/298,MULTI-SECTOR ,Multi-sector,152588,,Yes,part of ECHO/YEM/BUD/2013/91008,Traditional aid,04/09/2014,28/04/2014,1,,2014,financial,0.746461,European Euro,,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
97177,115277,Paid Contribution,30/09/2013,30/09/2013,1462295,,Humanitarian Assistance for Emergency Voluntary Return and Reintegration of Stranded and Destitute Migrants from the Horn of Africa(STATE/PRM)),"United States of America, Government of",Government: National government,,United States,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69255/R/298,MULTI-SECTOR ,Multi-sector,,,Yes,,Traditional aid,04/09/2014,28/04/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
97224,115342,Paid Contribution,13/01/2014,13/01/2014,752559,5000000,Strengthening Humanitarian Coordination and Advocacy in Yemen [OCT 4384],"Sweden, Government of",Government: National government,,Sweden,,2014,,,,Office for the Coordination of Humanitarian Affairs,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/63825/R/119,COORDINATION AND SUPPORT SERVICES,Coordination and support services,,,Yes,[OCT 4384],Traditional aid,29/08/2014,01/05/2014,1,,2014,financial,6.643997,Swedish Krona,,Standard,Office for the Coordination of Humanitarian Affairs,,,
97570,115741,Paid Contribution,23/04/2014,23/04/2014,182482,200000,Strengthening Humanitarian Coordination and Advocacy in Yemen (OCT 4372),"Canada, Government of",Government: National government,,Canada,,2014,,,,Office for the Coordination of Humanitarian Affairs,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/63825/R/119,COORDINATION AND SUPPORT SERVICES,Coordination and support services,,,Yes,[OCT 4372];[D-000664; 7060573; 6997787],Traditional aid,29/08/2014,13/05/2014,1,,2014,financial,1.095999,Canadian Dollar,,Standard,Office for the Coordination of Humanitarian Affairs,,,
98054,116345,Paid Contribution,01/03/2014,01/03/2014,2266267,1359760,"To improve food security and increase community resilience to shocks by providing food assistance, safe water, emergency livelihoods support, shelter and protection services over two years. This will benefit choronically vulnerable communities affected by political instability, widespread conflict and deterioration in the economy to withstand future shocks. This contributes towards our MDGs by tackling extreme hunger (MDG1) and will result in improved food security and greater access to livelihoods by 2015. (203847-102)","United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,OXFAM GB,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/ER/68947/R/5120,FOOD SECURITY AND AGRICULTURE,Early Recovery,,,Yes,203847-102,Traditional aid,02/09/2014,30/05/2014,1,,2014,financial,0.6,Pound Sterling,,Standard,"United Kingdom, Government of",,,
98113,116424,Paid Contribution,01/04/2014,01/04/2014,2573643,1660000,Provision of Life-saving Humanitarian and Protection Assistance for Stranded and Destitute Migrants from the Horn of Africa (203847-104),"United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69256/R/298,MULTI-SECTOR ,Multi-sector,,,Yes,203847-104,Traditional aid,30/07/2015,03/06/2014,1,,2014,financial,0.645,Pound Sterling,,Standard,"United Kingdom, Government of",,,
98240,116589,Paid Contribution,04/06/2014,04/06/2014,344740,2260460,To be allocated to specific projects / clusters (cross-sectoral activities),"Sweden, Government of",Government: National government,,Sweden,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68824/R/124,,,,,Yes,,Traditional aid,04/11/2014,10/06/2014,1,,2014,financial,6.556999,Swedish Krona,,Standard,"Sweden, Government of",,,
98376,116760,Paid Contribution,12/06/2014,12/06/2014,401875,,To be allocated to specific projects / clusters,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,,Traditional aid,16/06/2014,16/06/2014,1,,2014,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
98377,116761,Paid Contribution,12/06/2014,12/06/2014,1525088,10000000,To be allocated to specific projects / clusters,"Sweden, Government of",Government: National government,,Sweden,,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/SNYS/68602/R/120,,,,,Yes,,Traditional aid,28/08/2014,16/06/2014,1,,2014,financial,6.556999,Swedish Krona,,Standard,United Nations High Commissioner for Refugees,,,
98522,116945,Paid Contribution,30/04/2014,30/04/2014,973556,5832573,QZA-13/0122-18/Material relief assistance and services,"Norway, Government of",Government: National government,,Norway,,2014,,,,Norwegian Refugee Council,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/S-NF/69022/R/5834,SHELTER/CCCM/NFI,Emergency Shelter and NFI,,,Yes,QZA-13/0122-18,Traditional aid,29/08/2014,19/06/2014,1,,2014,financial,5.991,Norwegian Krone,,Standard,"Norway, Government of",,,
98728,117175,Paid Contribution,24/06/2014,24/06/2014,245950,,Air Passenger Service and Logistics Cluster Coordination in Support of the Humanitarian Response in Saada (WFP Special Operation 200130),World Food Programme,UN agency,,Yemen,,2013,,,Coordination and support services,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/68433/R/561,LOGISTICS,Logistics,,,No,,,21/11/2017,27/06/2014,1,,2014,financial,,US Dollar,,Carryover,World Food Programme,,,
98729,117176,Paid Contribution,16/05/2014,16/05/2014,757000,,Food assistance,"United States of America, Government of",Government: National government,,United States,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,27/06/2014,27/06/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
98730,117177,Paid Contribution,20/05/2014,20/05/2014,3456230,,Food assistance EMOP,"Germany, Government of",Government: National government,,Germany,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,28/11/2014,27/06/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
98731,117178,Paid Contribution,20/06/2014,20/06/2014,1855288,2000000,Food assistance,"Australia, Government of",Government: National government,,Australia,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,22/08/2014,27/06/2014,1,,2014,financial,1.078,Australian Dollar,,Standard,"Australia, Government of",,,
98769,117217,Paid Contribution,16/06/2014,16/06/2014,485314,356706,"Provision of humanitarian aid, for the Yemeni population most affected by armed conflict, food insecurity and high levels of malnutrition (part of ECHO/YEM/BUD/2014/91004)",European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2014,,,,OXFAM GB,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/ER/68940/R/5120,FOOD SECURITY AND AGRICULTURE,Early Recovery,152756,,Yes,part of ECHO/YEM/BUD/2014/91004,Traditional aid,02/09/2014,30/06/2014,1,,2014,financial,0.735,European Euro,,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
98770,117218,Paid Contribution,24/06/2014,24/06/2014,3790677,2786148,Multi-sectoral humanitarian response to acute malnutrition crisis in the most affected governorates in Yemen (part of ECHO/YEM/BUD/2014/91010),European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68976/R/124,NUTRITION,Health,152756,,Yes,part of ECHO/YEM/BUD/2014/91010,Traditional aid,03/11/2014,30/06/2014,1,,2014,financial,0.735,European Euro,,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
98785,117237,Paid Contribution,23/06/2014,23/06/2014,4350979,30000000,Yemen - ERF (OCT 4506),"Sweden, Government of",Government: National government,,Sweden,,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4506,Traditional aid,11/08/2014,01/07/2014,1,softly earmarked,2014,financial,6.895,Swedish Krona,,Standard,"Sweden, Government of",,,
98808,117260,Paid Contribution,30/06/2014,30/06/2014,700000,,Health (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,World Health Organization,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68410/R/122,HEALTH,Health,,,Yes,,Traditional aid,13/11/2014,01/07/2014,1,,2014,financial,,US Dollar,,Standard,World Health Organization,,,
98888,117341,Paid Contribution,03/07/2014,03/07/2014,2673797,2000000,Yemen - ERF (OCT 4570),"Netherlands, Government of",Government: National government,,Netherlands,,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4570,Traditional aid,11/08/2014,04/07/2014,1,softly earmarked,2014,financial,0.748,European Euro,,Standard,"Netherlands, Government of",,,
98919,117380,Paid Contribution,20/05/2014,20/05/2014,453001,400000,Protection (GBV & Child Protection),"Switzerland, Government of",Government: National government,,Switzerland,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/72883/R/124,PROTECTION (GBV&Child Protection),Protection,,,Yes,,Traditional aid,21/11/2017,10/07/2014,1,,2014,financial,0.883,Swiss Franc,,Standard,United Nations Children's Fund,,,
99246,117893,Paid Contribution,30/06/2014,30/06/2014,727472,,Emergency Livelihoods Support for/Increasing resilience among the Most Vulnerable Conflict Affected Populations in Yemen  (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,Agency for Technical Cooperation and Development,,2014,,Yemen 2014,NGO: International,,Yemen,YEM-14/ER/69197/R/6458,EARLY RECOVERY,Early Recovery,,,Yes,,Traditional aid,09/09/2014,23/07/2014,1,,2014,financial,,US Dollar,,Standard,Agency for Technical Cooperation and Development,,,
99247,117894,Paid Contribution,23/07/2014,30/06/2014,15000000,,"21,880 MT of Title II Emergency Food Assistance (USAID/FFP)","United States of America, Government of",Government: National government,,United States,,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,14/08/2014,23/07/2014,1,,2014,financial,,US Dollar,,Standard,World Food Programme,,,
99512,118325,Paid Contribution,01/07/2014,01/07/2014,913484,589197,"Livelihood support to conflict affected and underserved most vulnerable communities in Abyan, Hadramout and Shabwa governorates (203847-104)","United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/A/69214/R/298,FOOD SECURITY AND AGRICULTURE,Agriculture,,,Yes,203847-104,Traditional aid,21/11/2017,07/08/2014,1,,2014,financial,0.645,Pound Sterling,,Standard,"United Kingdom, Government of",,,
99628,118444,Paid Contribution,16/07/2014,16/07/2014,740083,5000000,Provision of Life-saving Humanitarian and Protection Assistance for Stranded and Destitute Migrants from the Horn of Africa,"Sweden, Government of",Government: National government,,Sweden,,2014,,,,International Organization for Migration,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/MS/69256/R/298,MULTI-SECTOR ,Multi-sector,,,Yes,,Traditional aid,04/09/2014,08/08/2014,1,,2014,financial,6.756,Swedish Krona,,Standard,International Organization for Migration,,,
