AgencyName,ChannelName,ChannelNameCode,ChannelReportedName,ChannelReportedNameCode,CodedOrg,CompletionDate,DonorCode,DonorName,FlowName,LongDescription,PurposeCode,RecipientName,SectorName,ShortDescription,USD_Disbursement,Year
Global Affairs Canada,United Nations Children's Fund,80,UNICEF - United Nations Children's Fund,80,80,30-Jun-18,301,Canada,ODA Grants,March 2017 - Founded in 1946 the United Nations Children's Fund (UNICEF) is mandated by the United Nation General Assembly to protect the rights of children and women in developing countries through its development and humanitarian assistance programming. UNICEF's mandate in humanitarian situations is to meet the needs of the most vulnerable to save lives and protect rights.In humanitarian emergencies UNICEF's project activities include: (1) treating children for severe acute malnutrition; (2) providing people with access to safe drinking water and sanitation facilities; (3) providing emergency education programming for children; (4) ensuring protection services for children and women; and (5) providing basic healthcare. With the support of GAC and other donors UNICEF's 2016 emergency operations aim to protect and assist an estimated 24 million people affected by conflict natural disasters and political instability./Mars 2017 ? Fond?en 1946 le Fonds des Nations Unies pour l'enfance (UNICEF) est mandat?par l'Assembl? g??ale des Nations Unies pour prot?er les droits des enfants et des femmes dans les pays en d?eloppement par le biais de ses programmes d'aide humanitaire et de d?eloppement. Le mandat de l'UNICEF dans les situations humanitaires est de r?ondre aux besoins des plus vuln?ables de sauver des vies et de prot?er les droits.Dans les situations d'urgence humanitaire les activit? du projet de l'UNICEF comprennent : (1) traiter les enfants souffrant de malnutrition aigu?s??e; (2) fournir aux gens l'acc? ?l'eau potable et aux installations sanitaires; (3) fournir des programmes ?ucatifs en situation d'urgence aux enfants; (4) assurer des services de protection pour les enfants et les femmes; (5) fournir des soins de sant?de base. Avec le soutien d'AMC et d'autres donateurs les op?ations d'urgence de 2017 de l'UNICEF visent ?prot?er et ?aider environ 24 millions de personnes touch?s par les conflits les catastrophes naturelles et l'instabilit?politique.,72010,Yemen,VIII.1. Emergency Response,MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2017/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2017,808871.0,2017
Global Affairs Canada,United Nations Children's Fund,80,UNICEF - United Nations Children's Fund,80,80,31-Dec-15,301,Canada,ODA Grants,UNICEF is one of the central actors in the United Nations providing humanitarian assistance. It is mandated to meet the needs of the most vulnerable to save lives and protect rights as defined in its Core Commitments for Children in Humanitarian Action. In humanitarian emergencies UNICEF's project activities include: (1) treating children for severe acute malnutrition; (2) providing people with access to safe drinking water and sanitation facilities; (3) emergency education programming for children; (4) protection services for children and women; and (5) basic healthcare. With the support of DFATD and other donors UNICEF's 2015 emergency operations in these countries will protect and assist an estimated 24 million people affected by conflict natural disasters and political instability. / TBC Assistance d'urgence - Financement visant des pays en particulier - UNICEF 2015,72050,Yemen,VIII.1. Emergency Response,EMERGENCY ASSISTANCE - COUNTRY-LEVEL FUNDING - UNICEF 2015 / ASSISTANCE D'URGENCE - FINANCEMENT VISANT DES PAYS EN PARTICULIER - UNICEF 2015,782000.0,2015
Global Affairs Canada,United Nations Children's Fund,80,UNICEF - United Nations Children's Fund,80,80,30-Jun-18,301,Canada,ODA Grants,March 2017 - Founded in 1946 the United Nations Children's Fund (UNICEF) is mandated by the United Nation General Assembly to protect the rights of children and women in developing countries through its development and humanitarian assistance programming. UNICEF's mandate in humanitarian situations is to meet the needs of the most vulnerable to save lives and protect rights.In humanitarian emergencies UNICEF's project activities include: (1) treating children for severe acute malnutrition; (2) providing people with access to safe drinking water and sanitation facilities; (3) providing emergency education programming for children; (4) ensuring protection services for children and women; and (5) providing basic healthcare. With the support of GAC and other donors UNICEF's 2016 emergency operations aim to protect and assist an estimated 24 million people affected by conflict natural disasters and political instability./Mars 2017 ? Fond?en 1946 le Fonds des Nations Unies pour l'enfance (UNICEF) est mandat?par l'Assembl? g??ale des Nations Unies pour prot?er les droits des enfants et des femmes dans les pays en d?eloppement par le biais de ses programmes d'aide humanitaire et de d?eloppement. Le mandat de l'UNICEF dans les situations humanitaires est de r?ondre aux besoins des plus vuln?ables de sauver des vies et de prot?er les droits.Dans les situations d'urgence humanitaire les activit? du projet de l'UNICEF comprennent : (1) traiter les enfants souffrant de malnutrition aigu?s??e; (2) fournir aux gens l'acc? ?l'eau potable et aux installations sanitaires; (3) fournir des programmes ?ucatifs en situation d'urgence aux enfants; (4) assurer des services de protection pour les enfants et les femmes; (5) fournir des soins de sant?de base. Avec le soutien d'AMC et d'autres donateurs les op?ations d'urgence de 2017 de l'UNICEF visent ?prot?er et ?aider environ 24 millions de personnes touch?s par les conflits les catastrophes naturelles et l'instabilit?politique.,72050,Yemen,VIII.1. Emergency Response,MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2017/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2017,231109.0,2017
Global Affairs Canada,United Nations Children's Fund,80,UNICEF - United Nations Children's Fund,80,80,30-Jun-18,301,Canada,ODA Grants,March 2017 - Founded in 1946 the United Nations Children's Fund (UNICEF) is mandated by the United Nation General Assembly to protect the rights of children and women in developing countries through its development and humanitarian assistance programming. UNICEF's mandate in humanitarian situations is to meet the needs of the most vulnerable to save lives and protect rights.In humanitarian emergencies UNICEF's project activities include: (1) treating children for severe acute malnutrition; (2) providing people with access to safe drinking water and sanitation facilities; (3) providing emergency education programming for children; (4) ensuring protection services for children and women; and (5) providing basic healthcare. With the support of GAC and other donors UNICEF's 2016 emergency operations aim to protect and assist an estimated 24 million people affected by conflict natural disasters and political instability./Mars 2017 ? Fond?en 1946 le Fonds des Nations Unies pour l'enfance (UNICEF) est mandat?par l'Assembl? g??ale des Nations Unies pour prot?er les droits des enfants et des femmes dans les pays en d?eloppement par le biais de ses programmes d'aide humanitaire et de d?eloppement. Le mandat de l'UNICEF dans les situations humanitaires est de r?ondre aux besoins des plus vuln?ables de sauver des vies et de prot?er les droits.Dans les situations d'urgence humanitaire les activit? du projet de l'UNICEF comprennent : (1) traiter les enfants souffrant de malnutrition aigu?s??e; (2) fournir aux gens l'acc? ?l'eau potable et aux installations sanitaires; (3) fournir des programmes ?ucatifs en situation d'urgence aux enfants; (4) assurer des services de protection pour les enfants et les femmes; (5) fournir des soins de sant?de base. Avec le soutien d'AMC et d'autres donateurs les op?ations d'urgence de 2017 de l'UNICEF visent ?prot?er et ?aider environ 24 millions de personnes touch?s par les conflits les catastrophes naturelles et l'instabilit?politique.,72040,Yemen,VIII.1. Emergency Response,MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2017/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2017,115555.0,2017
Ministry of Foreign Affairs and Trade,United Nations Children's Fund,80,UNICEF(United Nations Children's Fund),80,80,31-Dec-14,742,Korea,ODA Grants,funding for the Consolidated Appeal Process for Yemen,72010,Yemen,VIII.1. Emergency Response,FUNDING FOR THE CONSOLIDATED APPEAL PROCESS FOR YEMEN,200000.0,2014
Swedish International Development Authority,United Nations Children's Fund,80,UNICEF/UNITED NATIONS CHILDRENS FUND,80,80,30-Jun-19,10,Sweden,ODA Grants,Humanitarian support to UNICEFs country programs during 2014-2017 in nutrition health child protection WASH and emergency education.,72010,Yemen,VIII.1. Emergency Response,UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS 2014-2017,8172340.0,2017
Bundesministerium f?r Wirtschaftliche Zusammenarbeit und Entwicklung,United Nations Children's Fund,80,United Nations Children's Fund (UNICEF),80,80,31-Dec-18,5,Germany,ODA Grants,Support of internally displaced persons and aid to taking up municipalities in Yemen.,72010,Yemen,VIII.1. Emergency Response,SUPPORT OF INTERNALLY DISPLACED PERSONS IN YEMEN,3317480.0,2016
Abu Dhabi Fund for Development,United Nations Children's Fund,80,United Nations Children's Fund (UNICEF),80,80,#NULL!,576,United Arab Emirates,ODA Grants,Agreement to be signed with UNICEF (2 million) and WHO (0.8 million),72040,Yemen,VIII.1. Emergency Response,AGREEMENT TO BE SIGNED WITH UNICEF (2 MILLION) AND WHO (0.8 MILLION),0.0,2016
Swedish International Development Authority,United Nations Children's Fund,80,United Nations Childrens Fund,80,80,31-Dec-17,10,Sweden,ODA Grants,Humanitarian support to UNICEFs country programs during 2014-2017 in nutrition health child protection WASH and emergency education.,72010,Yemen,VIII.1. Emergency Response,UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS 2014-2017 - UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS (OLD STRATEGY),4900370.0,2016
Swedish International Development Authority,United Nations Children's Fund,80,United Nations Childrens Fund,80,80,28-Jun-18,10,Sweden,ODA Grants,Humanitarian support to UNICEFs country programs during 2014-2015 in nutrition health child protection WASH and emergency education.,72010,Yemen,VIII.1. Emergency Response,UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS 2014-2016 - UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS,3286130.0,2014
Swedish International Development Authority,United Nations Children's Fund,80,United Nations Childrens Fund,80,80,28-Jun-18,10,Sweden,ODA Grants,Humanitarian support to UNICEFs country programs during 2014-2015 in nutrition health child protection WASH and emergency education.,72010,Yemen,VIII.1. Emergency Response,UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS 2014-2016 - UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS,2065210.0,2015
Swedish International Development Authority,United Nations Children's Fund,80,United Nations Childrens Fund,80,80,28-Sep-15,10,Sweden,ODA Grants,UNICEF's main goal is to prevent and respond to abuse and violence by children and women after the earthquake. The target audience is 210400 people including 150000 children and 60000 women. UNICEF is working to strengthen local government capacity to respond to their needs including legislation / guidelines. Vulnerable receive psycho-social assistance help to reunite with their families access,72050,Yemen,VIII.1. Emergency Response,UNICEF 2012 CAP MULTISECTOR SUPPORT TO UNICEF FOR HUMANITARIAN PROGRAMS DURING 2012 - UNICEF 2012 CAP,0.0,2015
Ministry of Foreign Affairs,United Nations Children's Fund,80,UNICEF,80,80,31-Dec-17,20,Iceland,ODA Grants,Iceland's Contribution to UNICEF's emergency programme for Yemen,72010,Yemen,VIII.1. Emergency Response,EMERGENCY RELIEF AND HUMANITARIAN ASSITANCE IN YEMEN.,280718.0,2017
Ministry of Foreign Affairs,United Nations Children's Fund,80,UNICEF,80,80,31-Dec-19,61,Slovenia,ODA Grants,Zaradi slab?nja humanitarne situacije v Jemnu ter ob upo?evanju potreb otrok je Republika Slovenija namenila prispevek UNICEF skladno z zavezo na donatorskem dogodku za odziv na humanitarno krizo v Jemnu aprila 2017 v ?nevi. / Due to the worsening of the humanitarian situation and taking into consideration children's needs in Yemen the Republic of Slovenia allocated a contribution to UNICEF in accordance with the pledge at the donor conference in April 2017 in Brussles,72010,Yemen,VIII.1. Emergency Response,VOLUNTARY CONTRIBUTION,33818.1,2017
Ministry of Foreign Affairs,United Nations Children's Fund,80,UNICEF,80,80,31-Dec-16,61,Slovenia,ODA Grants,Zaradi slab?nja humanitarne situacije v Jemnu ter ob upo?evanju potreb otrok je Republika Slovenija namenila prispevek v vi?ni 30.000 EUR.,72010,Yemen,VIII.1. Emergency Response,VOLUNTARY CONTRIBUTION,33174.799999999996,2016
Direzione Generale per la Cooperazione allo Sviluppo,United Nations Children's Fund,80,UNICEF - UNITED NATIONS CHILDREN S FUND,80,80,30-Oct-18,6,Italy,ODA Grants,The programme aims to address the deteriorating situation of malnutrition by addressing both the prevention and treatment of SAM as well as better integration of cholera response and nutrition services.,72010,Yemen,VIII.1. Emergency Response,PROVISION OF LIFE SAVING AND PREVENTIVE INTERVENTIONS FOR CHOLERA AND MALNUTRITION CRISES IN PRIORITY AREAS OF YEMEN,1127270.0,2017
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,15-Jan-23,918,EU Institutions,ODA Grants,Multi-sectoral humanitarian response to acute malnutrition crisis in the most affected governorates in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,4850740.0,2014
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,01-Jan-24,918,EU Institutions,ODA Grants,Integrated multi-sectoral response to improve nutrition in the most affected governorates of Yemen,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,4423310.0,2016
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,01-Jan-24,918,EU Institutions,ODA Grants,Integrated multi-sectoral response to improve nutrition in the most affected governorates of Yemen,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,3549640.0,2015
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,15-Oct-20,918,EU Institutions,ODA Grants,Provision of life-saving nutrition interventions,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,1857500.0,2014
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,15-Oct-21,918,EU Institutions,ODA Grants,Scaling up integrated emergency Nutrition interventions in the most affected governorates in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,1131450.0,2015
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,15-Jan-23,918,EU Institutions,ODA Grants,Multi-sectoral humanitarian response to acute malnutrition crisis in the most affected governorates in Yemen.,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,900155.0,2015
European Commission,United Nations Children's Fund,80,United Nations Children?s Fund,80,80,15-Oct-21,918,EU Institutions,ODA Grants,Scaling up integrated emergency Nutrition interventions in the most affected governorates in Yemen.,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,849144.0,2014
King Salman Humanitarian Aid and Relief Center,United Nations Children's Fund,80,United Nations Children's Fund,80,80,#NULL!,566,Saudi Arabia,ODA Grants,Providing food preventive and treatment aid to save the lives of boys and girls under the age of five as well as the lives of pregnant and lactating women. Also providing mine-risk education courses and psychological support services for children and conflict-affected families.,72010,Yemen,VIII.1. Emergency Response,RESPONSE TO UNICEF APPEAL FOR YEMEN,29600000.0,2015
Rapid Response,United Nations Children's Fund,80,United Nations Children's Fund,80,80,#NULL!,1020,Central Emergency Response Fund,ODA Grants,Support to life-saving nutrition interventions for children under five and pregnant and lactating women,72010,Yemen,VIII.1. Emergency Response,SUPPORT TO LIFE-SAVING NUTRITION INTERVENTIONS FOR CHILDREN UNDER FIVE AND PREGNANT AND LACTATING WOMEN,6000000.0,2017
European Commission,United Nations Children's Fund,80,United Nations Children's Fund,80,80,#NULL!,918,EU Institutions,ODA Grants,Provision of life-saving WASH health and nutrition interventions for children and pregnant and lactating women (PLW) including both IDPs and host communities in Sa'ada Amran Hajjah Taiz Sana'a Hodeida Aden Lahjand Abyan governorates.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,4509070.0,2017
European Commission,United Nations Children's Fund,80,United Nations Children's Fund,80,80,#NULL!,918,EU Institutions,ODA Grants,Provision of life-saving WASH health and nutrition interventions for children and pregnant and lactating women (PLW) including both IDPs and host communities in Sa'ada Amran Hajjah Taiz Sana'a Hodeida Aden Lahjand Abyan governorates.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,2705440.0,2017
European Commission,United Nations Children's Fund,80,United Nations Children's Fund,80,80,#NULL!,918,EU Institutions,ODA Grants,Integrated multi-sectoral response to improve nutrition in the most affected governorates of Yemen,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,2029080.0,2017
Ministry of Foreign Affairs,United Nations Children's Fund,80,United Nations Children's Fund,80,80,01-Dec-15,3,Denmark,ODA Grants,UNICEF operation in Yemen 2014-2015,72010,Yemen,VIII.1. Emergency Response,UNICEF OPERATION IN YEMEN 2014-2015,1779770.0,2014
Ministry of Foreign Affairs,United Nations Children's Fund,80,United Nations Children's Fund,80,80,12-Jan-15,3,Denmark,ODA Grants,UNICEF operation in Yemen 2014-2015,72010,Yemen,VIII.1. Emergency Response,UNICEF'S OPERATION I YEMEN 2014-2017,0.0,2017
Department for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Mar-18,12,United Kingdom,ODA Grants,To contribute to a sustainable reduction in under-five mortality from under-nutrition in priority governorates in Yemen and to alleviating nutrition health and WASH humanitarian needs,72010,Yemen,VIII.1. Emergency Response,CONTRIBUTION ARRANGEMENT WITH UNICEF TO ADDRESS MALNUTRITION IN YEMEN,34766900.0,2017
Department for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Mar-16,12,United Kingdom,ODA Grants,To improve nutrition for 1.65 million women and children in Yemen,72040,Yemen,VIII.1. Emergency Response,SUPPORT TO NUTRITION IN YEMEN - HUMANITARIAN,33111600.000000004,2015
Department for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Mar-18,12,United Kingdom,ODA Grants,To contribute to a sustainable reduction in under-five mortality from under-nutrition in priority governorates in Yemen and to alleviating nutrition health and WASH humanitarian needs,72040,Yemen,VIII.1. Emergency Response,CONTRIBUTION ARRANGEMENT WITH UNICEF TO ADDRESS MALNUTRITION IN YEMEN,25641000.0,2016
Department for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,#NULL!,12,United Kingdom,ODA Grants,To improve nutrition for 1.65 million women and children in Yemen,72040,Yemen,VIII.1. Emergency Response,SUPPORT TO NUTRITION IN YEMEN - HUMANITARIAN,13481800.0,2014
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,30-Sep-16,302,United States,ODA Grants,USAID/OFDA Grant for Yemen/Complex Emergency,72010,Yemen,VIII.1. Emergency Response,USAID/OFDA GRANT FOR YEMEN/COMPLEX EMERGENCY - ASSISTANCE AND RECOVERY,7825930.0,2016
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Dec-16,302,United States,ODA Grants,UNICEF base Macro Award,72010,Yemen,VIII.1. Emergency Response,UNICEF BASE MACRO AWARD,7631350.0,2017
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,19-Sep-18,302,United States,ODA Grants,Lifesaving health nutrition protection and WASH support to children and families,72050,Yemen,VIII.1. Emergency Response,LIFESAVING HEALTH NUTRITION PROTECTION AND WASH SUPPORT TO CHILDREN AND FAMILIES,7533710.0,2017
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Dec-15,302,United States,ODA Grants,UNICEF Base Macro Award 2015,72010,Yemen,VIII.1. Emergency Response,UNICEF BASE MACRO AWARD 2015 - ASSISTANCE AND RECOVERY,5000000.0,2016
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Dec-15,302,United States,ODA Grants,UNICEF Base Macro Award,72010,Yemen,VIII.1. Emergency Response,UNICEF BASE MACRO AWARD 2014 - ASSISTANCE AND RECOVERY,4716290.0,2015
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,01-Jan-12,302,United States,ODA Grants,UNICEF base Macro Award for Nutrition WASH and Logistics/relief commodities,72010,Yemen,VIII.1. Emergency Response,UNICEF BASE MACRO AWARD FOR NUTRITION WASH AND LOGISTICS/RELIEF COMMODITIES - ASSISTANCE AND RECOVERY,4562230.0,2014
Ministry of Foreign Affairs,United Nations Children's Fund,80,United Nations Children's Fund,80,80,08-Jan-18,3,Denmark,ODA Grants,UNICEF efforts in Yemen 2017,72010,Yemen,VIII.1. Emergency Response,UNICEF'S OPERATION I YEMEN 2014-2017,3029480.0,2017
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Dec-16,302,United States,ODA Grants,UNICEF base Macro Award,72010,Yemen,VIII.1. Emergency Response,UNICEF BASE MACRO AWARD - ASSISTANCE AND RECOVERY,2563050.0,2016
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Dec-16,302,United States,ODA Grants,UNICEF base Macro Award,72050,Yemen,VIII.1. Emergency Response,UNICEF BASE MACRO AWARD - PROTECTION AND SOLUTIONS,2535270.0,2016
Agency for International Development,United Nations Children's Fund,80,United Nations Children's Fund,80,80,31-Dec-17,302,United States,ODA Grants,USAID Title II Emergency Program for Nutrition through United Nations Children's Fund.,72040,Yemen,VIII.1. Emergency Response,COMMODITY COST OF USAID TITLE II EMERGENCY PROGRAM FOR NUTRITION,2448500.0,2017
